Name,Score,Venue,Date

그램,112,롯데시네마 월드타워,2025-01-28 18:07:10
월드타워,132,롯데시네마 월드타워,2025-01-28 18:07:19
연지마을,155,파미에스테이션,2025-01-28 18:07:29
뽀뽀름,176,스타필드 하남,2025-01-28 18:07:54
아메리카,264,스타필드 하남,2025-01-28 18:08:02
무선마우,193,스타필드 하남,2025-01-28 18:08:29
캐캐캡틴,254,스타필드 하남,2025-01-28 18:08:39
마루머쓱,321,롯데시네마 월드타워,2025-01-28 18:09:08
마루킁킁,333,파미에스테이션,2025-01-28 18:09:26
마루쫑긋,364,스타필드 하남,2025-01-28 18:09:39
마루총총,368,CGV 용산,2025-01-28 18:09:56
전채이,258,CGV 용산,2025-01-28 18:10:20
김볼음,214,롯데시네마 월드타워,2025-01-28 18:10:35
김줌인,211,파미에스테이션,2025-01-28 18:10:51
오댕내,300,CGV 용산,2025-01-28 18:11:07
